,AAPL,ADBE,AMZN,BAC,DIS,FB,GOOGL,HD,JNJ,JPM,MA,MSFT,NVDA,PG,PYPL,TSLA,UNH,V,VZ,WMT
AAPL,0.08976328016014343,0.057738343340730656,0.05048199544466903,0.049809807455145474,0.036909266182912175,0.05308346774099463,0.04973135593746541,0.04069612612895374,0.02454798640482781,0.04380863417764206,0.054261330946565565,0.05721141728323943,0.07611737110987013,0.02467449058805394,0.0573538982465197,0.06428182043059871,0.040665569867741815,0.04823273852479299,0.016120097021088343,0.022421333863949858
ADBE,0.05773834334073066,0.10343876177809029,0.05902646667637794,0.04825430169624413,0.036623200122374425,0.06006400702799241,0.05731863049769132,0.04451332257394791,0.026401947248366905,0.04274936814703237,0.06109233949478688,0.06776634340947611,0.08434672408014242,0.02347425701613647,0.07015970570214453,0.07193450471202872,0.04134886223070202,0.0574004848694697,0.016511933758283383,0.023350398255057414
AMZN,0.05048199544466903,0.05902646667637794,0.09233143559681263,0.03410011147762637,0.027150589677352142,0.05923677603595584,0.05253631219302969,0.0313659789890067,0.01915020461276038,0.028247700125287243,0.04483042608081697,0.055580132698984444,0.0696224952989471,0.017361657628678515,0.05353927486104987,0.06252158964502652,0.030541728668092932,0.0389427356789773,0.011516900147429225,0.017734490789055708
BAC,0.049809807455145474,0.04825430169624413,0.03410011147762637,0.11765725606780228,0.05308827844150823,0.04464442026381916,0.0440282681394422,0.04904681233566299,0.02818106397099199,0.09288730138054661,0.0593286818247933,0.050909529052593834,0.06575950396208291,0.026339093756683585,0.05105253652455749,0.05351631631661714,0.04991992178998992,0.055094508607298816,0.022280247600806682,0.019896358079098526
DIS,0.036909266182912175,0.036623200122374425,0.027150589677352142,0.05308827844150823,0.0711009646760448,0.033876620467733466,0.03425528746190745,0.03750534168802938,0.02012950947838022,0.0479487353481593,0.04489616932556563,0.036988199552963646,0.04559869368382138,0.021680673250179854,0.04075971452082205,0.04270329722086845,0.03170743300183072,0.039993465400796485,0.017731997508655697,0.016486579491747488
FB,0.05308346774099463,0.06006400702799241,0.05923677603595584,0.04464442026381915,0.033876620467733466,0.10593739626072937,0.057668289840219315,0.0384035422462594,0.021323027270911704,0.03839926615346989,0.053317671681412514,0.05486045116117625,0.07071462014623943,0.018810100578769553,0.06220343306676034,0.05935050169846323,0.03535903836594812,0.04723315627060679,0.013567044420454444,0.01615075133708227
GOOGL,0.04973135593746541,0.05731863049769132,0.05253631219302969,0.044028268139442196,0.03425528746190745,0.057668289840219315,0.06953687245530846,0.0372939689562967,0.023113040151559426,0.03883702779515277,0.05055592013148612,0.05583640783131937,0.06744132310061757,0.021341332635171666,0.055580927598041625,0.055245391495632165,0.03687790846937343,0.047172829679358624,0.015334898130186148,0.017659654362448395
HD,0.04069612612895374,0.04451332257394791,0.0313659789890067,0.04904681233566299,0.03750534168802938,0.0384035422462594,0.0372939689562967,0.06654892857792223,0.02256787213574222,0.045255583233975064,0.04547182978621664,0.04307297679506178,0.05817583200848433,0.023495662831108585,0.04593539245475818,0.04965056517188675,0.038978176610465654,0.0428599690494081,0.01977292913129016,0.023070595967326007
JNJ,0.02454798640482781,0.026401947248366902,0.01915020461276038,0.02818106397099199,0.020129509478380218,0.021323027270911704,0.023113040151559426,0.02256787213574222,0.041034778682688795,0.026513731750159177,0.027300305801098823,0.027703926247115575,0.02911018478589906,0.022549538101018698,0.025619078895082897,0.018686630567414143,0.028094184119883552,0.025574412211600672,0.018144682167497737,0.017419292724313466
JPM,0.04380863417764206,0.04274936814703237,0.028247700125287243,0.09288730138054661,0.0479487353481593,0.03839926615346989,0.03883702779515277,0.045255583233975064,0.026513731750159177,0.08977172339117008,0.0530289069478873,0.04517595004103776,0.054390192530350955,0.02448128000352069,0.04464467872468148,0.045219819588487045,0.04481696446223035,0.04893418809795203,0.0216437670045822,0.018608459259063695
MA,0.054261330946565565,0.06109233949478689,0.04483042608081697,0.0593286818247933,0.04489616932556563,0.053317671681412514,0.05055592013148612,0.04547182978621664,0.027300305801098823,0.0530289069478873,0.08250554213043242,0.05833826094250075,0.07458414881568698,0.02579298325739377,0.06641993366078933,0.05937334000105554,0.043239236724534155,0.06625153649514158,0.01720294257460922,0.02018664191801683
