,Prior,Historical,Posterior,Views
AAPL,0.24326234941888306,0.35395869941145786,0.4968408718331787,0.19231727181640168
ADBE,0.24519815532405834,0.429694075274466,0.35611661983436527,-0.137684581817489
AMZN,0.226821091320492,0.43852390505357297,0.347335158217881,0.03736467448408365
BAC,0.21232473233978785,0.11209213674951446,1.3911388065841785,1.5513798511714305
DIS,0.16254683136291936,0.05312489516699359,1.0881221007595787,1.8809485854396084
FB,0.23175269041839436,0.23865091221981194,0.5354770219065738,0.3988896847291872
GOOGL,0.2176969442107164,0.18098922340152934,0.8099679510881587,1.942246492166507
HD,0.1780255677116223,0.2198250546115883,0.4688067745332266,-0.00646404296606351
JNJ,0.11675193388800219,0.12808085707930816,0.1353611087030822,-0.12203581137690633
JPM,0.18893611581431513,0.12786601750755877,1.303871346659692,2.562568848832116
MA,0.22625004905571955,0.31149047136018426,0.5245435419739577,-0.02229011555564231
MSFT,0.24158109374367684,0.392511735873704,0.47976225141331535,0.1291218351043013
NVDA,0.30434131619450144,0.8651866920322488,0.4515247071685022,-0.0558575409526455
PG,0.11333787442441115,0.17645587346498415,0.18648817003734702,0.028437022989636684
PYPL,0.24189403575184004,0.44760350361325973,0.5493549393580233,0.6472109511506479
TSLA,0.2955824966527417,0.5395929082174784,2.2539125681658714,4.363516937564486
UNH,0.17430119718083978,0.23834717859120147,0.5450016594417667,0.576395942802846
V,0.2078112051991917,0.24397321874706646,0.5312816846512324,0.3670658718367674
VZ,0.08789203171077767,0.1135490800252521,0.21978047478541882,0.16838743501367137
WMT,0.1059413353262714,0.19576156585575588,0.36242605958892216,0.6961994616592766
