uid,id,provincecode,birthday,age,gender,areaid,provincename,cityname,areaname,instalments_num,instalments_amount,shop_address,trans_date,taobaostartdate,taobaoenddate,taobaodealno,apptimes,deal,apply_request_sum,apply_reject_sum,loan_offer_sum,repay_fail_sum,max_default_days,default,province,nominalrates,default30,alipaybalance,yuebaobalance,huabeiamount,huabeibalance,creditlevelasbuyer,tencentscore,gaodescore,numbercontact,numbercontact20s,highcontact,highcontact20s,numbercontacttotal,default_firstmonth_0,default_firstmonth_30,default_firstmonth_60,delaydate_max,default_max_0,default_max_30,default_max_60
72146187,1200345737,43,19951203,24,FALSE,431222,湖南省,怀化市,沅陵县,12,603000,香花桥街道大盈路361号,2017/12/2,,,0,1,0,0,0,,,,,hunan,0.494169154,,0,0,0,0,,60.2,0.1920935,0,0,FALSE,FALSE,0,,,,,,,
101101513,1200456775,32,19880607,31,FALSE,320382,江苏省,徐州市,邳州市,12,270000,上海市上海市普陀区普陀区真如镇曹杨路2083号,2019/2/18,2018/12/14,2019/1/1,40,1,1,0,0,,,0,FALSE,jiangsu,0.359377778,FALSE,1.94,0,50,50,1,48,0.1920935,5,5,TRUE,TRUE,47,FALSE,FALSE,FALSE,-3,FALSE,FALSE,FALSE
98608810,1200502203,42,19960503,23,FALSE,420821,湖北省,荆门市,京山县,12,398000,上海市上海市普陀区宜君路92号,2019/4/22,2018/12/10,2019/4/22,44,1,0,0,0,,,,,hubei,0.204552764,,179.11,0,300,2.44,3,60.2,0.1561,6,4,TRUE,TRUE,23,,,,,,,
96300664,1200424426,51,20000620,19,TRUE,510824,四川省,广元市,苍溪县,12,300000,浙江省宁波市保税区庐山西路158号1幢1-14号C区,2018/12/2,2018/6/12,2018/12/2,85,1,1,0,0,,,0,FALSE,sichuan,0.20456,FALSE,0,36.32,1000,647.92,161,53.875,0.1920935,0,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,-23,FALSE,FALSE,FALSE
105585598,1200512684,32,19940122,25,FALSE,321324,江苏省,宿迁市,泗洪县,12,378000,江苏省南京市秦淮区秦淮路11号欧尚超市,2019/5/11,2018/11/11,2019/4/30,32,1,1,0,0,,,0,FALSE,jiangsu,0.252571429,FALSE,0,66.96,500,500,29,35,0.1898,8,7,TRUE,TRUE,46,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
85866700,1200552120,32,19980907,21,FALSE,320321,江苏省,徐州市,丰县,12,400000,江苏省苏州市吴中区吴中经济开发区越溪街道越城东路118号,2019/7/10,2019/1/13,2019/6/17,8,1,1,0,0,0,0,0,FALSE,jiangsu,0.35936,FALSE,0,259.47,1500,0.12,54,84,0.187895,1,1,FALSE,FALSE,152,FALSE,FALSE,FALSE,-11,FALSE,FALSE,FALSE
111173970,1200574366,32,19980818,21,FALSE,320321,江苏省,徐州市,丰县,12,458000,江苏省南京市浦口区明发滨江新城308栋1032室,2019/8/13,2019/5/16,2019/8/5,13,1,0,0,0,0,0,0,FALSE,jiangsu,0.204558952,FALSE,0,469.99,1800,288.38,102,39,0.072399,0,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,-6,FALSE,FALSE,FALSE
92046256,1200427496,15,19940422,25,TRUE,152627,null,null,null,12,500000,北京市北京市昌平区北七家镇平西府村214号OPPO专卖店,2018/12/10,2018/8/10,2018/12/10,45,1,0,0,0,,,,,neimeng,0.20456,,0,1009.2,200,0.48,2,41.66666667,0.1920935,0,0,FALSE,FALSE,10,,,,,,,
112614401,1200597146,32,19710416,48,FALSE,320723,江苏省,连云港市,灌云县,12,398000,江苏省南京市江宁区诚信大道星光名座8栋102室,2019/9/25,,,0,1,1,0,0,0,0,0,FALSE,jiangsu,0.204552764,FALSE,0,0,0,0,,60.2,0.082386,0,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
95775332,1200419765,50,19991001,20,FALSE,500235,重庆市,重庆市,云阳县,12,398000,上海市上海市杨浦区榆林路866号,2018/11/22,2018/5/25,2018/11/22,160,4,1,1,1,0,0,0,FALSE,chongqing,0.288552764,FALSE,0,7317.05,2000,429.98,90,45.44444444,0.1920935,44,37,TRUE,TRUE,151,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
98192743,1200443074,13,19891019,30,TRUE,130825,河北省,承德市,隆化县,12,290000,北京市北京市通州区马驹桥三街101号,2019/1/3,2018/7/12,2019/1/3,54,1,0,0,0,,,,,hebei,0.180551724,,0,0,0,0,18,60.2,0.1920935,0,0,FALSE,FALSE,0,,,,,,,
105903424,1200515954,53,19980702,21,FALSE,532129,null,null,null,12,360000,江苏省苏州市相城区阳澄湖中路29号中环百汇城613室,2019/5/16,2019/5/5,2019/5/15,10,1,0,0,0,,,,,yunnan,0.311366667,,0,5.95,50,5.05,0,60.2,0.377062,9,7,TRUE,TRUE,59,,,,,,,
