"Stkcd","B001101000","Accper"
"603899","765486647.29","2016-03-31"
"002695","210875367.35","2016-03-31"
"002511","292292514.64","2016-03-31"
"002557","524538652.92","2016-03-31"
"603866","124703684.99","2016-03-31"
"600872","7904194.57","2016-03-31"
"002557","1030580424.43","2016-06-30"
"002511","505573254.07","2016-06-30"
"600872","14770402.37","2016-06-30"
"603899","1409374962.19","2016-06-30"
"603866","279782256.72","2016-06-30"
"002695","362631487.27","2016-06-30"
"603899","2131680463.01","2016-09-30"
"002557","1591432255.87","2016-09-30"
"002511","748503859.32","2016-09-30"
"603866","479672220.97","2016-09-30"
"002695","538615798.19","2016-09-30"
"600872","69474475.61","2016-09-30"
"002695","689246343.42","2016-01-01"
"002695","697840024.72","2016-12-31"
"603899","2917344558.22","2016-01-01"
"603899","2768886399.24","2016-12-31"
"603866","497701374.84","2016-01-01"
"603866","644170691.99","2016-12-31"
"002557","2206664792.38","2016-01-01"
"002557","2195084934.23","2016-12-31"
"002511","671281512.67","2016-01-01"
"002511","1056515354.61","2016-12-31"
"002511","632069832.77","2017-03-31"
"600872","55296090.98","2016-01-01"
"600872","78188381.04","2016-12-31"
"600872","8906263.73","2017-03-31"
"603899","814425082.43","2017-03-31"
"002695","225172161.33","2017-03-31"
"002557","440058138.47","2017-03-31"
"603866","88339501.70","2017-03-31"
"002557","914966730.48","2017-06-30"
"002511","1070993256.21","2017-06-30"
"603899","1503535718.54","2017-06-30"
"002695","399987691.46","2017-06-30"
"603866","88339501.70","2017-06-30"
"600872","14382143.38","2017-06-30"
"603899","2315687197.40","2017-09-30"
"002695","591781538.95","2017-09-30"
"603866","88339501.70","2017-09-30"
"600872","22762743.78","2017-09-30"
"002557","1508368116.55","2017-09-30"
"002511","1336828428.58","2017-09-30"
"603899","2768886399.24","2017-01-01"
"603899","3063800379.94","2017-12-31"
"002695","697840024.72","2017-01-01"
"002695","778961297.53","2017-12-31"
"603866","644170691.99","2017-01-01"
"603866","88339501.70","2017-12-31"
"002511","1056515354.61","2017-01-01"
"002511","1571365064.74","2017-12-31"
"603899","874170288.80","2018-03-31"
"002557","2195084934.23","2017-01-01"
